ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2011-04,D1,26,530,78406,33,80,82,4,11953607
2011-10,D1,26,1036,145987,35,89,94,5,19217492
2011-11,D1,26,763,166403,29,77,81,4,12388613
2011-12,D1,26,776,210573,35,85,87,3,16802922
2010-12,A1,25,845,328302,24,166,170,1,79185938
2011-04,A1,25,4592,1631713,29,283,298,4,269858232
2011-05,A1,25,5788,1922199,30,297,315,5,294974846
2011-06,A1,25,3538,1386181,29,268,286,4,226750355
2011-07,A1,25,3574,1264044,28,232,246,4,192258052
2011-08,A1,25,4750,1826213,30,262,277,5,247585908
2011-09,A1,25,4336,1618701,31,284,303,4,237446761
2011-10,A1,25,5723,1570705,32,324,345,5,290874366
2011-11,A1,25,4719,2321979,29,326,353,4,237845666
2011-12,A1,25,3666,1600148,28,285,303,3,143205392
2011-09,A1,26,816,208422,18,109,114,4,17994019
2011-08,A1,26,924,153598,17,94,96,5,14975134
2011-10,A1,26,987,208139,17,115,119,5,22003787
2011-11,A1,26,942,510340,16,125,130,4,31839627
2011-12,A1,26,771,324562,14,109,113,3,20885065
2011-01,G2,25,1057,492408,19,144,151,5,110305507
2011-02,G2,25,1119,531868,18,105,110,4,90129847
2011-03,G2,25,1068,462062,19,111,116,4,75894948
2011-04,G2,25,1334,404800,19,120,127,4,57410123
2011-05,G2,25,2620,1141310,17,145,154,5,174645577
2011-06,G2,25,1973,931263,19,137,145,4,122638397
2011-07,G2,25,1821,808074,18,127,133,4,120874587
2011-08,G2,25,1780,632646,18,121,128,5,82015318
2011-09,G2,25,1473,624313,17,120,128,4,77223809
2011-10,G2,25,2390,638966,20,160,171,5,88029211
2011-11,G2,25,3122,1176780,18,165,178,4,133615128
2011-12,G2,25,3077,1291053,16,161,177,3,133557446
2011-03,G2,26,88,3951,9,23,23,4,559458
2011-08,G2,26,343,26766,11,46,46,5,3818662
2011-02,G2,26,92,6437,9,33,33,4,807149
2011-07,G2,26,331,62702,12,44,44,4,6491873
2011-09,G2,26,302,68156,9,44,44,4,4858318
2011-01,G2,26,105,7625,9,28,30,5,987819
2011-10,G2,26,401,77455,14,54,54,5,6877314
2011-11,G2,26,364,147033,12,60,63,4,11257123
2011-12,G2,26,438,192354,11,60,64,3,16443308
2011-04,B3,26,3068,591614,20,276,307,4,68194293
2011-11,B3,26,2897,819431,21,291,329,4,63589647
2010-12,B1,26,8039,2045211,153,2204,2433,1,350398999
2011-10,B2,25,22628,9905238,22,1557,2567,5,1731238452
2011-11,B2,25,15283,7731672,22,1425,2173,4,914788800
2011-12,B2,25,8973,4646546,21,1195,1818,3,467462531
2011-09,F3,26,337,71715,10,39,39,4,11761440
2011-01,B3,26,4656,1326753,18,264,290,5,183699705
2011-10,F2,25,3155,1579253,19,121,135,5,266865054
2011-02,F2,25,2537,2106854,18,93,104,4,329884436
2011-01,F2,25,2597,1703075,17,103,114,5,265856461
2010-12,F2,25,536,388936,15,77,83,1,65241868
2011-11,F2,25,1665,1216193,17,113,129,4,139703935
2011-12,F2,25,1332,986310,17,82,93,3,95727108
2011-02,F2,26,169,30616,11,27,29,4,3566526
2011-01,F2,26,223,24974,10,21,23,5,3300329
2011-05,F2,26,391,72864,12,43,50,5,8132436
2011-04,F2,26,249,42729,12,37,40,4,5173192
2011-10,F2,26,391,66687,12,39,43,5,9276398
2011-11,F2,26,141,30097,12,27,29,4,2948058
2011-12,F2,26,131,32542,10,23,24,3,3107562
2011-02,R1,25,1163,279807,14,150,157,4,51571602
2011-04,R1,25,1416,395964,13,158,163,4,67973848
2011-06,R1,25,1616,574329,12,131,135,4,99911999
2011-07,R1,25,1928,583454,12,142,150,4,100388972
2011-08,R1,25,1717,531350,13,144,151,5,91819910
2011-08,R1,26,269,26203,6,43,43,5,3342603
2011-07,R1,26,387,93646,8,53,54,4,12663183
2011-06,R1,26,330,107923,6,50,51,4,17018979
2011-06,G2,26,316,53218,12,44,46,4,6084807
2011-05,G2,26,506,87550,13,57,58,5,10310209
2011-10,R1,25,1554,349055,11,148,153,5,64056522
2011-03,B2,25,14489,6453424,20,1568,2691,4,1089454262
2011-04,B2,25,15603,7106064,21,1506,2573,4,1205599886
2011-05,B2,25,19735,9094647,23,1689,2913,5,1526976428
2011-02,B2,25,13129,6490312,22,1451,2513,4,1076088427
2011-06,B2,25,15504,7617934,22,1509,2531,4,1234134437
2011-07,B2,25,15775,7337085,23,1477,2547,4,1165198554
2011-08,B2,25,20321,9843650,23,1520,2529,5,1552238996
2011-09,B2,25,18718,8576219,19,1461,2455,4,1383736692
2011-08,B2,26,6269,1297010,20,695,812,5,180854879
2011-09,B2,26,5774,1327839,18,655,764,4,189394169
2011-06,B2,26,4252,1086830,20,615,712,4,153676052
2011-07,B2,26,4530,1139741,22,628,730,4,164015689
2011-10,B2,26,7050,1483914,19,714,862,5,226659134
2011-05,B2,26,5496,1319555,19,708,822,5,197302531
2011-11,B2,26,4656,1728435,19,678,800,4,188863381
2011-12,B2,26,2579,1234480,17,554,640,3,134042215
2011-03,A1,26,649,94302,13,84,87,4,12792129
2011-04,A1,26,763,123844,14,89,93,4,17451069
2010-12,G4,25,2055,910224,51,433,480,1,239909258
2011-01,G4,25,8494,3875760,58,738,812,5,1147944917
2011-03,F3,26,70,21361,8,16,16,4,2946345
2010-12,H1,25,156,50597,27,57,57,1,12554626
2011-08,H1,26,238,34067,22,37,37,5,4476303
2011-03,H1,26,100,14599,20,34,34,4,2129687
2011-06,H1,26,109,16868,17,30,30,4,2429164
2011-09,H1,26,102,35759,12,21,21,4,4649346
2011-01,H1,26,115,13839,18,28,28,5,1877468
2010-12,H1,26,41,10921,10,19,19,1,1164993
2011-04,H1,26,86,6935,16,26,26,4,970795
2011-05,H1,26,168,22578,22,41,43,5,3260503
2011-02,H1,26,75,23220,15,31,31,4,3192378
2011-07,H1,26,178,21137,21,38,38,4,2543420
2011-10,H1,26,90,12442,15,25,25,5,1702230
2011-11,H1,26,194,50785,17,36,36,4,4720768
2011-12,H1,26,58,14015,14,21,21,3,1342813
2011-05,R1,25,1867,606668,13,144,147,5,102961592
2011-12,R1,25,1369,468150,11,134,136,3,43146624
