ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-09,F2,10,49,314997,1600,4,11,11,21
2014-03,B2,15,19,121201,450,3,15,15,5
2014-12,B2,15,15,140776,530,4,11,11,4
2014-09,T6,10,827,1150704,14451,20,203,220,30
2014-01,G3,15,19,106380,543,6,15,15,4
2014-07,R1,10,1360,7019878,79722,9,118,166,31
2014-11,G3,15,35,239858,1075,10,27,27,5
2014-12,G3,15,16,64287,242,5,12,12,3
2014-04,T4,15,14,53235,264,3,9,9,3
2014-06,T4,15,30,179014,798,6,21,21,5
2014-07,T4,15,5,54153,175,1,3,3,3
2014-08,T4,15,9,60063,266,2,3,3,4
2014-12,T4,15,6,45580,202,3,5,5,2
2014-07,H2,10,85,475056,4052,14,22,23,31
2014-06,F2,10,41,212670,1800,6,12,12,21
2014-07,F2,10,38,239914,1034,6,10,11,23
2014-08,R1,10,1568,7828316,68203,10,124,158,31
2014-09,B1,16,6,224018,79,4,6,6,2
2014-10,G3,15,12,42308,185,6,12,12,3
2014-05,G5,10,10,24846,244,4,8,8,9
2014-11,G4,10,262,488647,5425,14,74,78,30
2014-04,G4,10,282,412813,7373,11,81,87,30
2014-01,T1,9,45,1152709,983,6,13,16,22
2014-03,T1,9,44,1339776,1066,5,10,14,15
2014-04,T1,9,37,960877,739,5,11,13,21
2014-02,T1,9,32,950226,833,5,12,13,18
2014-10,T1,9,38,982832,674,3,10,12,18
2014-08,T1,9,35,1074364,1055,6,12,13,22
2014-09,T1,9,31,1013237,632,5,12,13,16
2014-05,T1,9,49,1362839,1465,8,11,13,22
2014-07,T1,9,46,1343436,1058,7,15,16,19
2014-10,B4,15,2,8548,124,1,1,1,2
2014-11,B4,15,5,28091,242,2,2,3,4
2014-02,D2,15,40,223632,1107,9,23,23,4
2014-04,B5,10,168,644183,6125,8,47,50,30
2014-08,B5,10,246,572548,5784,6,43,47,31
2014-05,B5,10,174,863104,7457,8,38,40,31
2014-11,T1,15,1,10145,77,1,1,1,1
2014-08,H2,10,118,661906,4799,14,23,25,30
2014-05,H2,10,171,1614946,9818,17,34,39,30
